Year : P-value
1900 : 0.277427031287275
1905 : 0.11880051810471
1906 : 0.277427031287275
1907 : 0.0287348759370267
1918 : 0.0292210271627698
1919 : 0.00954622478214703 *
1950 : 0.452960561136567
1958 : 0.35473597941339
1961 : 0.242980158076707
1962 : 0.372899762333228
1963 : 0.1475985664914
1964 : 0.0536770250673044
1965 : 0.405457947151789
1966 : 0.452391170089572
1967 : 0.400156113941066
1968 : 0.441685652582307
1969 : 0.35473597941339
1970 : 0.468944672814416
1971 : 0.421700431702497
1972 : 0.0978442007670952
1973 : 0.328921164038166
1974 : 0.0909176868102974
1975 : 0.390288844849896
1976 : 0.386796253804424
1977 : 0.423631227609215
1978 : 0.417671096927047
1979 : 0.494735368664209
1980 : 0.460056946945068
1981 : 0.272475396334206
1982 : 0.314701642489168
1983 : 0.00238188049711735 *
1985 : 0.365403044976811
1989 : 0.0607960747871428
1990 : 0.35473597941339
1992 : 0.277427031287275
1993 : 0.277427031287275
1994 : 0.35473597941339
1995 : 0.0840004743848242
1996 : 0.0680777539633114
1997 : 0.277427031287275
2001 : 0.441685652582307
*  : p-value is lower than 5 percent alpha risk
** : p-value is lower than 5 percent alpha risk with Bon Ferroni correction (Multiple test)
